"stock_id","ticker","price","previous_close","change_percent","volume","market_cap","pe_ratio","company_name","timestamp","trend","price_formatted","time","diff"
"AAPL_1750269762","AAPL","196.38","195.64","0.38","19842675","2933092515840","30.588785","Apple Inc.","2025-06-18T14:02:42.193606","up","$196.38","1750269761040","1"
"GOOGL_1750269762","GOOGL","175.65","175.65","0.0","13373358","2138450821120","19.603794","Alphabet Inc.","2025-06-18T14:02:42.193624","flat","$175.65","1750269761040","1"
"AMZN_1750269762","AMZN","215.53","214.82","0.33","18896348","2288152739840","35.102608","Amazon.com, Inc.","2025-06-18T14:02:42.193637","up","$215.53","1750269761040","1"
"MSFT_1750269762","MSFT","479.43","478.04","0.29","6438496","3563382636544","37.02162","Microsoft Corporation","2025-06-18T14:02:42.193617","up","$479.43","1750269761040","1"
"JPM_1750269762","JPM","274.92","269.52","2.0","5029443","764027469824","13.489697","JP Morgan Chase & Co.","2025-06-18T14:02:42.193537","up","$274.92","1750269761040","1"
"TSLA_1750269762","TSLA","323.68","316.2821","2.34","67596764","1042560319488","186.02298","Tesla, Inc.","2025-06-18T14:02:42.193631","up","$323.68","1750269761040","1"
"NFLX_1750269762","NFLX","1224.895","1220.67","0.35","1401705","521279799296","57.99692","Netflix, Inc.","2025-06-18T14:02:42.193661","up","$1224.89","1750269761040","1"
"META_1750269762","META","698.525","697.23","0.19","4365998","1756322463744","27.296797","Meta Platforms, Inc.","2025-06-18T14:02:42.193652","up","$698.52","1750269761040","1"
"META_1750269823","META","698.15","697.23","0.13","4387646","1755379662848","27.282143","Meta Platforms, Inc.","2025-06-18T14:03:43.667842","up","$698.15","1750269822538","1"
"GOOGL_1750269823","GOOGL","175.615","175.95","-0.19","13390598","2138024837120","19.59989","Alphabet Inc.","2025-06-18T14:03:43.667829","down","$175.62","1750269822538","1"
"MSFT_1750269823","MSFT","479.14","478.04","0.23","6459288","3561227288576","36.99923","Microsoft Corporation","2025-06-18T14:03:43.667824","up","$479.14","1750269822538","1"
"AMZN_1750269823","AMZN","215.3796","214.82","0.26","18968160","2286555758592","35.07811","Amazon.com, Inc.","2025-06-18T14:03:43.667838","up","$215.38","1750269822538","1"
"JPM_1750269823","JPM","274.87","269.52","1.99","5038574","763888402432","13.487243","JP Morgan Chase & Co.","2025-06-18T14:03:43.666167","up","$274.87","1750269822538","1"
"AAPL_1750269823","AAPL","196.18","195.64","0.28","19912382","2930105122816","30.55763","Apple Inc.","2025-06-18T14:03:43.667810","up","$196.18","1750269822538","1"
"NFLX_1750269823","NFLX","1224.85","1220.67","0.34","1403489","521260630016","57.99479","Netflix, Inc.","2025-06-18T14:03:43.667847","up","$1224.85","1750269822538","1"
"TSLA_1750269823","TSLA","323.27","316.2821","2.21","67930219","1041239703552","185.78735","Tesla, Inc.","2025-06-18T14:03:43.667834","up","$323.27","1750269822538","1"
"AMZN_1750269884","AMZN","215.315","214.82","0.23","19030054","2285870252032","35.067593","Amazon.com, Inc.","2025-06-18T14:04:44.992959","up","$215.31","1750269884038","1"
"NFLX_1750269884","NFLX","1224.95","1220.67","0.35","1406978","521303195648","57.999523","Netflix, Inc.","2025-06-18T14:04:44.992966","up","$1224.95","1750269884038","1"
"MSFT_1750269884","MSFT","479.01","478.04","0.2","6478805","3560261025792","36.98919","Microsoft Corporation","2025-06-18T14:04:44.992945","up","$479.01","1750269884038","1"
"AAPL_1750269884","AAPL","196.18","195.64","0.28","19960553","2930105122816","30.55763","Apple Inc.","2025-06-18T14:04:44.992932","up","$196.18","1750269884038","1"
"JPM_1750269884","JPM","274.98","269.52","2.03","5050745","764194193408","13.4926405","JP Morgan Chase & Co.","2025-06-18T14:04:44.992564","up","$274.98","1750269884038","1"
"TSLA_1750269884","TSLA","323.2647","316.2821","2.21","68159999","1041222729728","185.78432","Tesla, Inc.","2025-06-18T14:04:44.992955","up","$323.26","1750269884038","1"
"GOOGL_1750269884","GOOGL","175.6169","175.95","-0.19","13416720","2138047905792","19.6001","Alphabet Inc.","2025-06-18T14:04:44.992951","down","$175.62","1750269884038","1"
"META_1750269884","META","698.0","697.23","0.11","4408505","1755002437632","27.27628","Meta Platforms, Inc.","2025-06-18T14:04:44.992963","up","$698.00","1750269884038","1"
"NFLX_1750269947","NFLX","1222.2493","1220.67","0.13","1423474","520153858048","57.871647","Netflix, Inc.","2025-06-18T14:05:47.621960","up","$1222.25","1750269947042","1"
"META_1750269947","META","697.83","697.23","0.09","4430117","1754575011840","27.269636","Meta Platforms, Inc.","2025-06-18T14:05:47.621953","up","$697.83","1750269947042","1"
"AAPL_1750269947","AAPL","196.26","195.64","0.32","20051312","2931299975168","30.570093","Apple Inc.","2025-06-18T14:05:47.621892","up","$196.26","1750269947042","1"
"MSFT_1750269947","MSFT","478.83","478.04","0.17","6522740","3558923042816","36.97529","Microsoft Corporation","2025-06-18T14:05:47.621921","up","$478.83","1750269947042","1"
"AMZN_1750269947","AMZN","215.15","214.82","0.15","19156143","2284118343680","35.040718","Amazon.com, Inc.","2025-06-18T14:05:47.621944","up","$215.15","1750269947042","1"
"JPM_1750269947","JPM","274.73","269.52","1.93","5060841","763499380736","13.480374","JP Morgan Chase & Co.","2025-06-18T14:05:47.618520","up","$274.73","1750269947042","1"
"TSLA_1750269947","TSLA","323.11","316.2821","2.16","68495895","1040724328448","185.69539","Tesla, Inc.","2025-06-18T14:05:47.621937","up","$323.11","1750269947042","1"
"GOOGL_1750269947","GOOGL","175.64","175.95","-0.18","13456586","2138329186304","19.602678","Alphabet Inc.","2025-06-18T14:05:47.621930","down","$175.64","1750269947042","1"
"AAPL_1750270009","AAPL","196.22","195.64","0.3","20129308","2930702548992","30.563862","Apple Inc.","2025-06-18T14:06:49.307783","up","$196.22","1750270008542","1"
"MSFT_1750270009","MSFT","478.97","478.04","0.19","6540095","3559963754496","36.9861","Microsoft Corporation","2025-06-18T14:06:49.307795","up","$478.97","1750270008542","1"
"JPM_1750270009","JPM","275.17","269.52","2.1","5076989","764722216960","13.501964","JP Morgan Chase & Co.","2025-06-18T14:06:49.307194","up","$275.17","1750270008542","1"
"AMZN_1750270009","AMZN","215.15","214.82","0.15","19246981","2284118343680","35.040718","Amazon.com, Inc.","2025-06-18T14:06:49.307810","up","$215.15","1750270008542","1"
"GOOGL_1750270009","GOOGL","175.69","175.95","-0.15","13478047","2138937884672","19.60826","Alphabet Inc.","2025-06-18T14:06:49.307801","down","$175.69","1750270008542","1"
"META_1750270009","META","698.27","697.23","0.15","4452196","1755681390592","27.28683","Meta Platforms, Inc.","2025-06-18T14:06:49.307816","up","$698.27","1750270008542","1"
"TSLA_1750270009","TSLA","323.4294","316.2821","2.26","68657904","1041753178112","185.87897","Tesla, Inc.","2025-06-18T14:06:49.307806","up","$323.43","1750270008542","1"
"NFLX_1750270009","NFLX","1222.16","1222.16","0.0","1426013","520115879936","57.867424","Netflix, Inc.","2025-06-18T14:06:49.307821","flat","$1222.16","1750270008542","1"
"NFLX_1750270071","NFLX","1224.215","1220.67","0.29","1429179","520990392320","57.96472","Netflix, Inc.","2025-06-18T14:07:51.246738","up","$1224.21","1750270070042","1"
"AMZN_1750270071","AMZN","215.18","214.82","0.17","19321967","2284436848640","35.0456","Amazon.com, Inc.","2025-06-18T14:07:51.246729","up","$215.18","1750270070042","1"
"MSFT_1750270071","MSFT","479.04","478.04","0.21","6559996","3560484110336","36.99151","Microsoft Corporation","2025-06-18T14:07:51.246714","up","$479.04","1750270070042","1"
"META_1750270071","META","698.32","697.23","0.16","4464272","1755806957568","27.288784","Meta Platforms, Inc.","2025-06-18T14:07:51.246734","up","$698.32","1750270070042","1"
"GOOGL_1750270071","GOOGL","175.7","175.95","-0.14","13501239","2139059519488","19.609375","Alphabet Inc.","2025-06-18T14:07:51.246719","down","$175.70","1750270070042","1"
"AAPL_1750270071","AAPL","196.26","195.64","0.32","20178032","2931299975168","30.570093","Apple Inc.","2025-06-18T14:07:51.246707","up","$196.26","1750270070042","1"
"JPM_1750270071","JPM","275.1248","269.52","2.08","5084901","764596518912","13.499744","JP Morgan Chase & Co.","2025-06-18T14:07:51.246673","up","$275.12","1750270070042","1"
"TSLA_1750270071","TSLA","323.265","316.2821","2.21","68789744","1041223712768","185.78448","Tesla, Inc.","2025-06-18T14:07:51.246724","up","$323.26","1750270070042","1"
"AAPL_1750270132","AAPL","196.2","195.64","0.29","20244566","2930403966976","30.560747","Apple Inc.","2025-06-18T14:08:52.477469","up","$196.20","1750270131542","1"
"JPM_1750270132","JPM","275.145","269.52","2.09","5095152","764652683264","13.500736","JP Morgan Chase & Co.","2025-06-18T14:08:52.477147","up","$275.14","1750270131542","1"
"GOOGL_1750270132","GOOGL","175.77","175.95","-0.1","13533558","2139911880704","19.617188","Alphabet Inc.","2025-06-18T14:08:52.477481","down","$175.77","1750270131542","1"
"MSFT_1750270132","MSFT","479.13","478.04","0.23","6575217","3561153101824","36.998455","Microsoft Corporation","2025-06-18T14:08:52.477477","up","$479.13","1750270131542","1"
"NFLX_1750270132","NFLX","1225.425","1220.67","0.39","1434986","521505374208","58.02202","Netflix, Inc.","2025-06-18T14:08:52.477496","up","$1225.42","1750270131542","1"
"AMZN_1750270132","AMZN","215.18","214.82","0.17","19398591","2284436848640","35.0456","Amazon.com, Inc.","2025-06-18T14:08:52.477489","up","$215.18","1750270131542","1"
"TSLA_1750270132","TSLA","323.78","316.2821","2.37","69064483","1042882428928","186.08046","Tesla, Inc.","2025-06-18T14:08:52.477485","up","$323.78","1750270131542","1"
"META_1750270132","META","698.5","697.23","0.18","4476645","1756259549184","27.295818","Meta Platforms, Inc.","2025-06-18T14:08:52.477493","up","$698.50","1750270131542","1"
"AAPL_1750270194","AAPL","196.0262","195.64","0.2","20329730","2927807954944","30.533676","Apple Inc.","2025-06-18T14:09:54.221207","up","$196.03","1750270193042","1"
"GOOGL_1750270194","GOOGL","175.682","175.95","-0.15","13556888","2138840629248","19.607367","Alphabet Inc.","2025-06-18T14:09:54.221219","down","$175.68","1750270193042","1"
"JPM_1750270194","JPM","274.915","274.915","0.0","5101977","764013510656","13.489451","JP Morgan Chase & Co.","2025-06-18T14:09:54.220402","flat","$274.92","1750270193042","1"
"META_1750270194","META","697.9502","697.23","0.1","4492192","1754877132800","27.274334","Meta Platforms, Inc.","2025-06-18T14:09:54.221231","up","$697.95","1750270193042","1"
"TSLA_1750270194","TSLA","323.3623","316.2821","2.24","69186348","1041537040384","185.84041","Tesla, Inc.","2025-06-18T14:09:54.221223","up","$323.36","1750270193042","1"
"AMZN_1750270194","AMZN","214.9804","214.82","0.07","19487419","2282317938688","35.013096","Amazon.com, Inc.","2025-06-18T14:09:54.221227","up","$214.98","1750270193042","1"
"NFLX_1750270194","NFLX","1225.09","1220.67","0.36","1438726","521362767872","58.006153","Netflix, Inc.","2025-06-18T14:09:54.221234","up","$1225.09","1750270193042","1"
"MSFT_1750270194","MSFT","478.8","478.04","0.16","6591373","3558700220416","36.972973","Microsoft Corporation","2025-06-18T14:09:54.221215","up","$478.80","1750270193042","1"
"NFLX_1750270255","NFLX","1225.9","1220.67","0.43","1443932","521707520000","58.044506","Netflix, Inc.","2025-06-18T14:10:55.927991","up","$1225.90","1750270254538","1"
"MSFT_1750270255","MSFT","478.78","478.04","0.15","6603766","3558551584768","36.971428","Microsoft Corporation","2025-06-18T14:10:55.927973","up","$478.78","1750270254538","1"
"JPM_1750270255","JPM","274.89","269.52","1.99","5114581","763944042496","13.488225","JP Morgan Chase & Co.","2025-06-18T14:10:55.927418","up","$274.89","1750270254538","1"
"TSLA_1750270255","TSLA","323.7125","316.2821","2.35","69327856","1042664980480","186.04166","Tesla, Inc.","2025-06-18T14:10:55.927981","up","$323.71","1750270254538","1"
"GOOGL_1750270255","GOOGL","175.6802","175.95","-0.15","13581138","2138818609152","19.607166","Alphabet Inc.","2025-06-18T14:10:55.927977","down","$175.68","1750270254538","1"
"AAPL_1750270255","AAPL","195.96","195.96","0.0","20391852","2926819409920","30.523365","Apple Inc.","2025-06-18T14:10:55.927964","flat","$195.96","1750270254538","1"
"AMZN_1750270255","AMZN","214.92","214.82","0.05","19543851","2281676734464","35.003258","Amazon.com, Inc.","2025-06-18T14:10:55.927984","up","$214.92","1750270254538","1"
"META_1750270255","META","697.825","697.23","0.09","4508754","1754562428928","27.269442","Meta Platforms, Inc.","2025-06-18T14:10:55.927988","up","$697.83","1750270254538","1"
